"GDP per Capita, in International Comparable Prices by Country/Region, Expenditure and Year"

"Expenditure"	"Measurement"	"Country/Region"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"GDP per capita"	"US$, at prices and PPPs of 2010"	"European Union-28"	..	..	..	..	..	..	..	..	..	..	27886	28493	28835	29141	29829	30369	31338	32221	32343	30868	31416	31911	31725	31748	32278	32953	33506	34382	35038	35607	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Euro area-19"	..	..	..	..	..	..	..	..	..	..	30937	31530	31694	31776	32351	32741	33669	34517	34500	32820	33419	33853	33461	33320	33720	34299	34834	35663	36210	36676	34302	36113	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"EECCA"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"CIS-11"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"North America-2"	35188	34738	35523	36121	37204	37777	38673	39904	41166	42660	43964	43952	44321	45126	46426	47608	48469	48993	48628	46905	47761	48164	48844	49385	50161	51318	51755	52576	53704	54486	52172	54701	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"UNECE-52"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Western Balkans-6"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Albania"	..	..	..	..	..	..	..	..	..	..	5142	5601	5873	6221	6591	6991	7451	7956	8619	8968	9347	9611	9763	9879	10075	10329	10688	11105	11580	11872	11525	12623	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Andorra"	..	..	..	..	..	..	..	..	..	..	33006	..	..	..	..	38586	..	..	..	39358	40397	40694	38677	37194	37800	37721	38385	37648	37552	37634	33223	35288	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Armenia"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Austria"	..	..	..	..	..	31281	31973	32605	33736	34868	35958	36275	36692	36873	37644	38227	39343	40676	41139	39496	40127	41165	41259	41022	40971	40976	41264	41931	42740	43194	40228	41899	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Azerbaijan"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Belarus"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Belgium"	..	..	..	..	..	29435	29766	30822	31359	32397	33519	33769	34192	34404	35479	36102	36781	37854	37724	36668	37372	37516	37559	37555	37978	38530	38822	39298	39820	40493	38139	40311	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Bosnia and Herzegovina"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	7945	8364	8850	9333	9058	9142	9237	9170	9398	9521	10720	11127	11521	11974	12325	11966	12873	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Bulgaria"	..	..	..	..	..	10620	11231	9705	10140	9341	9818	10524	11205	11860	12701	13669	14677	15734	16778	16298	16661	17442	17675	17675	17947	18682	19385	20066	20754	21745	21010	22799	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Canada"	31034	30045	29958	30359	31483	31977	32147	33282	34280	35879	37537	37701	38379	38731	39528	40425	40995	41508	41482	39719	40425	41277	41497	42052	42843	42762	42656	43617	44385	44576	41947	43601	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Croatia"	..	..	..	..	..	1545	1661	1772	1813	1805	1877	2011	2126	2245	2337	2436	2555	2682	2737	2543	2517	2523	2472	2471	2471	2550	2663	2783	2888	3004	2760	3191	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Cyprus"	..	..	..	..	..	24202	24117	24405	25580	26559	27847	28639	29365	29770	30852	31886	32837	33784	34148	32573	32457	31771	30212	28288	28093	29219	30997	32471	33889	35281	33358	35243	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Czechia"	..	..	..	..	..	17787	18573	18498	18447	18725	19493	20181	20545	21280	22293	23701	25225	26486	26918	25513	26070	26581	26341	26325	26885	28285	28941	30367	31236	32053	30202	31283	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Denmark"	29256	29583	30063	29962	31456	32260	32994	33921	34556	35454	36666	36836	36877	36925	37819	38588	39966	40159	39713	37560	38097	38447	38389	38596	39012	39652	40603	41488	42102	42562	41620	43462	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Estonia"	..	..	..	..	..	10678	11386	13048	13740	13820	14974	15971	17166	18582	19976	21998	24292	26285	25020	21403	21966	23625	24471	24921	25758	26285	27061	28635	29639	30615	30353	32757	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Finland"	25717	24072	23148	22884	23689	24593	25412	26941	28336	29508	31147	31888	32353	32923	34138	34967	36236	37995	38114	34870	35816	36559	35877	35390	35109	35184	36076	37140	37509	37931	36977	38025	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"France"	26786	26932	27227	26939	27472	27950	28244	28801	29725	30584	31567	31960	32088	32124	32791	33087	33662	34266	34162	33011	33489	34056	33996	34016	34175	34416	34662	35306	35787	36278	33335	35496	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Georgia"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	10008	10831	11611	12068	12598	12958	13327	13971	14653	15409	14358	15921	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Germany"	..	29292	29659	29208	29832	30233	30418	30946	31594	32200	33123	33656	33564	33341	33771	34068	35440	36576	37031	35045	36600	38041	38128	38191	38872	39112	39663	40574	40849	41188	39633	40657	41107
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Greece"	..	..	..	..	..	21024	21531	22385	23129	23748	24578	25461	26363	27824	29160	29249	30810	31737	31547	30111	28425	25577	23894	23462	23732	23841	23824	24132	24585	25074	22866	24840	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Hungary"	..	..	..	..	..	14249	14286	14764	15376	15893	16648	17366	18241	19039	20036	20938	21798	21893	22151	20722	20992	21445	21286	21730	22710	23608	24199	25300	26691	28000	26784	28810	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Iceland"	..	..	..	..	..	39131	40690	42721	45381	46633	48261	49511	49355	50117	53418	56057	57953	61420	61204	56549	55155	55997	56292	58291	58623	60595	63531	64654	66027	66140	60623	62272	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Ireland"	..	..	..	..	..	22165	23638	25969	27866	30468	32899	34111	35498	35972	37750	39027	39920	40794	38134	35847	36286	36438	36286	36515	39397	48547	48966	52783	56596	58870	61843	69711	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Israel"	..	..	..	..	..	23986	24804	25142	25575	25819	27383	26773	26188	26015	26816	27443	28519	29727	30214	29837	30963	32080	32382	33302	34017	34109	34940	35769	36484	37145	35710	37997	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Italy"	..	..	..	..	..	29017	29377	29898	30431	30920	32077	32681	32701	32570	32788	32864	33319	33610	33030	31105	31499	31612	30586	29963	29957	30236	30685	31255	31611	31842	29105	31227	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Kazakhstan"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Kyrgyzstan"	6145	5597	4784	4017	3185	2980	3147	3402	3415	3484	3629	3789	3766	4012	4271	4232	4320	4634	4955	5023	4922	5131	5041	5477	5602	5798	5958	6148	6287	6486	5863	6146	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Latvia"	..	..	..	..	..	8914	9248	10166	10913	11305	12062	12989	14074	15408	16870	18880	21332	23641	23117	20152	19664	20547	22266	22949	23603	24730	25548	26641	27919	28832	28380	29814	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Liechtenstein"	..	..	..	..	..	..	..	..	..	..	91842	89660	87451	84789	86431	89808	97056	105415	101947	90547	96494	91834	91948	95622	97771	97171	98494	98539	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Lithuania"	..	..	..	..	..	9244	9795	10687	11570	11519	12029	12920	13903	15498	16702	18289	19961	22444	23268	20037	20799	22559	23743	24836	25936	26711	27734	29330	30793	32303	32287	34054	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Luxembourg"	..	..	..	..	..	61996	62112	64637	68084	72601	76637	78120	79775	80849	83122	83871	87557	93119	91220	86673	88281	87161	86587	87068	87271	87517	89557	88783	88120	88323	86287	89282	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Malta"	..	..	..	..	..	..	..	..	..	..	24014	23542	23974	24785	24660	25327	25870	27006	27859	27338	28713	28722	29635	30816	32497	34781	35143	37896	38849	39952	35717	39693	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Monaco"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	124726	140984	139759	122221	124887	133344	133342	143401	150502	155335	160433	160225	168065	180070	158341	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Montenegro"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Netherlands"	..	..	..	..	..	32550	33535	34805	36206	37776	39079	39690	39522	39398	40040	40766	42109	43602	44375	42531	42881	43343	42738	42558	43007	43656	44377	45399	46199	46795	44727	46658	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"North Macedonia"	..	..	..	..	..	..	..	..	..	..	8344	8054	8234	8390	8757	9151	9605	10211	10752	10693	11029	11268	11203	11514	11912	12355	12693	12818	13176	13688	13073	..	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Norway"	40593	41639	42885	43840	45790	47453	49588	51924	52997	53719	55144	55997	56468	56665	58593	59763	60735	61867	61396	59444	59177	59058	59866	59748	60295	60788	60955	61972	62074	62349	61197	63213	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Poland"	..	..	..	..	..	10653	11300	12028	12589	13180	13786	13961	14253	14766	15507	16059	17057	18269	19036	19389	19940	20940	21260	21460	22293	23288	23993	25230	26736	27946	27404	29428	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Portugal"	..	..	..	..	..	20527	21167	22000	22942	23703	24436	24735	24790	24467	24845	24993	25354	25938	25984	25148	25574	25177	24253	24162	24485	25027	25613	26576	27377	28105	25745	27180	..
"GDP per capita"	"US$, at prices and PPPs of 2010"	"Republic of Moldova"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9146	9684	9628	10501	11033	10965	11481	11970	12472	12915	..	..	..
