country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,"Death rate, crude (per 1,000 people)",Argentina,7.6,7.549,7.518,7.864,7.48,7.423,7.369,7.748,7.467,7.41,7.661,7.51,7.394,7.494,7.447,7.543,7.947,7.692,7.68,7.6
AUT,"Death rate, crude (per 1,000 people)",Austria,9.6,9.3,9.4,9.5,9.1,9.1,9.0,9.0,9.0,9.3,9.2,9.1,9.4,9.4,9.2,9.6,9.2,9.5,9.5,9.4
BLR,"Death rate, crude (per 1,000 people)",Belarus,13.5,14.1,14.8,14.5,14.3,14.5,14.2,13.7,13.8,14.1,14.5,14.3,13.4,13.2,12.8,12.6,12.6,12.6,12.7,12.8
BEL,"Death rate, crude (per 1,000 people)",Belgium,10.2,10.1,10.2,10.3,9.7,9.9,9.6,9.5,9.8,9.6,9.7,9.4,9.8,9.8,9.3,9.8,9.5,9.6,9.7,9.5
CRI,"Death rate, crude (per 1,000 people)",Costa Rica,3.995,4.089,3.999,4.055,4.047,4.078,4.176,4.304,4.421,4.433,4.552,4.379,4.541,4.62,5.059,5.034,4.986,5.18,5.276,5.468
DNK,"Death rate, crude (per 1,000 people)",Denmark,10.9,10.9,10.9,10.7,10.3,10.1,10.2,10.2,9.9,9.9,9.8,9.4,9.4,9.3,9.1,9.2,9.2,9.2,9.5,9.3
DOM,"Death rate, crude (per 1,000 people)",Dominican Republic,6.169,6.201,6.202,6.091,6.089,5.933,5.873,5.859,5.831,5.831,5.821,5.84,5.802,5.803,5.827,5.883,5.964,6.032,6.06,6.006
SLV,"Death rate, crude (per 1,000 people)",El Salvador,5.876,6.119,6.046,6.268,6.408,6.599,6.705,6.814,6.74,6.75,6.758,6.892,7.038,7.149,7.168,7.07,6.925,6.857,6.938,7.451
FIN,"Death rate, crude (per 1,000 people)",Finland,9.5,9.4,9.5,9.4,9.1,9.1,9.1,9.3,9.2,9.3,9.5,9.4,9.6,9.5,9.6,9.6,9.8,9.8,9.9,9.8
GRC,"Death rate, crude (per 1,000 people)",Greece,9.7,9.4,9.5,9.7,9.6,9.6,9.6,9.9,9.7,9.8,9.8,10.0,10.6,10.2,10.4,11.2,11.0,11.6,11.2,11.7
LUX,"Death rate, crude (per 1,000 people)",Luxembourg,8.6,8.4,8.4,9.0,7.8,7.8,8.0,8.1,7.4,7.3,7.4,7.4,7.3,7.0,6.9,7.0,6.8,7.1,7.1,6.9
MDA,"Death rate, crude (per 1,000 people)",Moldova,12.993,12.897,13.042,12.803,12.529,12.501,12.417,12.21,12.033,12.093,12.582,13.074,13.443,13.8,14.166,14.133,13.54,13.088,13.339,13.089
NOR,"Death rate, crude (per 1,000 people)",Norway,9.8,9.7,9.8,9.3,9.0,8.9,8.9,8.9,8.7,8.6,8.5,8.4,8.4,8.1,7.9,7.8,7.8,7.7,7.7,7.6
PER,"Death rate, crude (per 1,000 people)",Peru,5.782,5.72,5.707,5.747,5.838,5.98,6.177,6.416,6.605,6.801,6.895,6.864,6.791,6.681,6.612,6.438,6.318,6.173,6.103,6.006
RUS,"Death rate, crude (per 1,000 people)",Russian Federation,15.3,15.6,16.2,16.4,15.9,16.1,15.1,14.6,14.5,14.1,14.2,13.5,13.3,13.0,13.1,13.0,12.9,12.4,12.5,12.3
SWE,"Death rate, crude (per 1,000 people)",Sweden,10.5,10.5,10.6,10.4,10.1,10.2,10.0,10.0,9.9,9.7,9.6,9.5,9.7,9.4,9.2,9.3,9.2,9.1,9.1,8.6
THA,"Death rate, crude (per 1,000 people)",Thailand,6.043,6.088,6.138,6.23,6.419,6.323,6.033,6.122,6.189,6.236,6.307,6.393,6.464,6.547,6.627,6.724,6.814,6.897,7.027,7.14
USA,"Death rate, crude (per 1,000 people)",United States,8.5,8.5,8.5,8.4,8.2,8.3,8.1,8.0,8.1,7.9,7.995,8.073,8.102,8.215,8.237,8.44,8.493,8.638,8.678,8.7
