country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,Domestic general government health expenditure per capita (current US$),Argentina,387.92160925,370.28302256,122.12313832,143.50332189,161.42892646,201.86562662,239.76034285,310.67294178,411.30692067,471.08900065,580.7029151,728.91668551,854.26357877,904.13348228,841.48920147,1021.71045491,716.4738335,966.72963849,692.61743135,589.92823278
AUT,Domestic general government health expenditure per capita (current US$),Austria,1682.86150358,1680.96545472,1834.3865169,2260.87947489,2590.12369117,2695.66656984,2828.75746721,3260.49907236,3732.00021647,3590.60529525,3475.56824212,3756.43685306,3618.98198149,3778.29665705,3911.28340535,3342.26833668,3408.04957304,3541.2074424,3863.31498328,3827.19825686
BLR,Domestic general government health expenditure per capita (current US$),Belarus,45.40636833,55.44907333,63.17391163,83.51525012,109.4631553,147.73715571,160.04984661,197.26414523,231.38846699,187.69611875,233.85366391,202.5962541,240.20671913,286.02341646,281.84219091,220.49508221,211.84821094,230.50936587,247.68008379,281.09976022
BEL,Domestic general government health expenditure per capita (current US$),Belgium,1378.75934711,1416.19480533,1536.92387855,2086.36026117,2484.4627564,2547.06440179,2644.08949208,3014.66816381,3525.69180973,3539.14730907,3455.36397029,3762.45015067,3603.06502786,3765.966924,3871.98092762,3257.5652961,3501.82486906,3692.65746232,3944.48729309,3808.43816884
CRI,Domestic general government health expenditure per capita (current US$),Costa Rica,161.49818209,168.08297623,185.67407074,191.86831856,192.79089974,199.35849189,239.64932857,282.7485098,349.5645801,379.24154385,477.70310339,526.19895942,554.47616807,586.03215771,590.40190439,642.66127877,644.43555529,633.15003116,658.54824604,668.48040316
DNK,Domestic general government health expenditure per capita (current US$),Denmark,2074.39913393,2170.75218637,2426.8539348,3026.66444776,3504.77799773,3720.54368225,4008.06871201,4577.48692282,5156.95134352,5254.76143543,5042.46168036,5251.77487517,5042.00475799,5254.99365695,5371.95224569,4604.26089816,4681.91165258,4873.52175164,5214.66021716,5000.14855285
DOM,Domestic general government health expenditure per capita (current US$),Dominican Republic,49.07778188,50.71805223,52.23947375,28.05060291,28.54639086,54.78721176,57.59704011,79.3165824,107.90779126,117.42609198,139.79503965,161.15356945,168.8729977,173.30582925,162.63589622,163.89980281,194.01098137,204.09861824,204.4886834,220.47022986
SLV,Domestic general government health expenditure per capita (current US$),El Salvador,78.92409891,79.44294899,85.03211899,85.93227319,91.51468633,103.17164503,120.02144623,115.65872251,121.38635221,119.1962424,132.56131225,158.98667336,154.8529993,169.74912543,171.48872861,181.80489056,189.06350953,179.78604583,184.22164337,190.47460396
FIN,Domestic general government health expenditure per capita (current US$),Finland,1304.68167899,1376.51885918,1578.10044442,2015.41609413,2363.15187855,2512.3810014,2683.33192537,3075.64783593,3532.43321764,3435.35759113,3337.77911749,3733.42348468,3649.06869796,3887.33399866,3916.28471945,3242.43077962,3196.66439938,3302.63341249,3547.37301349,3567.67296773
GRC,Domestic general government health expenditure per capita (current US$),Greece,545.6468532,635.10749389,706.64398939,937.71392632,1045.11512219,1177.30244372,1264.75851416,1537.00649634,1855.8395566,1919.17341071,1766.96422637,1536.7378078,1239.1604873,1106.98498463,971.64546749,825.65420536,775.67285061,784.68483166,812.47862476,722.16916245
