country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,GDP per capita (current US$),Argentina,7666.51783423783,7168.97587232911,2579.48876933284,3333.15290388997,4258.16026060875,5086.62776073134,5890.97800169795,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,9963.6725062053
AUT,GDP per capita (current US$),Austria,24625.6007227434,24558.7636778868,26527.5930910347,32294.0488606559,36889.2335135194,38417.4577857677,40669.3269586152,46915.3374004507,51919.9835754226,48153.3240199631,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50070.4033482901
BLR,GDP per capita (current US$),Belarus,1276.2880341,1244.37318523431,1479.31458271677,1819.76605926177,2378.62328600741,3125.81053502853,3847.43412382153,4735.65760793999,6377.36973201232,5352.5839116007,6033.6862392722,6527.17386871642,6953.13251493684,7998.12523878099,8341.39967861093,5967.05220384914,5039.68188628499,5785.67067254068,6360.06247301284,6837.71782606351
BEL,GDP per capita (current US$),Belgium,23098.8865077401,23015.0712632462,25006.191397109,30655.2092679024,35429.4077933344,36809.7013403619,38705.1067959147,44319.165448813,48303.397956286,44760.2912443709,44184.946353964,47410.5669277464,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47544.9811472757,46638.6813054855
CRI,GDP per capita (current US$),Costa Rica,3773.03379319679,3941.59864349203,4021.42536130228,4123.5064871039,4376.08042847261,4643.45856992587,5188.36179215965,6055.08677891562,6841.91145979684,6737.86024507553,8147.24398481032,9137.45582337247,9971.65090241867,10633.2672527524,10737.6788809612,11529.9545258398,11899.8132624909,12118.1334111458,12383.1499737386,12669.341068679
DNK,GDP per capita (current US$),Denmark,30743.5476816354,30751.654348268,33228.6935448819,40458.7773986609,46511.5983324305,48799.8256011275,52026.9995142723,58487.0549677696,64322.0635020842,58163.2768762815,58041.3984363385,61753.647131977,58507.5080517852,61191.1937042028,62548.9847332908,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59592.9806886454
DOM,GDP per capita (current US$),Dominican Republic,2845.8391666108,2953.24112018346,3085.52552800157,2399.49809124012,2468.43767294515,3903.8162379585,4080.05002687348,4676.07496287687,5053.32457734602,5002.14844186965,5509.56683713904,5859.37921671885,6049.47174094956,6171.29556968327,6533.66686007327,6838.93659408348,7191.07657188469,7513.49134309925,7947.15820732109,8173.33800656006
SLV,GDP per capita (current US$),El Salvador,1977.84061443838,2051.15877420114,2106.73946874831,2197.48200095937,2273.95550275819,2434.32353117029,2651.43088765876,2814.58988893523,2964.172140237,2889.68588721937,3017.3073947577,3304.97418347889,3471.05126865498,3555.16209958481,3638.51765819162,3761.51368000275,3870.31298246063,3986.04901435439,4145.86235103186,4280.28840404719
FIN,GDP per capita (current US$),Finland,24345.9148217032,24967.7925153182,26997.7529897788,32927.6802919408,37772.1781110398,39054.8504423825,41222.6020004611,48476.3927287052,53772.7942390019,47481.4845364339,46505.3031791811,51148.9316365833,47708.0612784469,49892.2233632732,50327.2402902632,42801.9081167285,43814.0265056965,46412.1364777169,49987.6261584968,48629.8582283032
GRC,GDP per capita (current US$),Greece,12072.9293569196,12549.036894906,14177.5721592705,18518.3788387396,21995.477943746,22560.1472939077,24821.9367451879,28863.9732885018,32127.9831943287,29828.7560245271,26716.6488260274,25483.8825644931,21912.9982879517,21787.7877636035,21616.7100094908,18083.8779056547,17923.9668134716,18582.0893411631,19756.990456255,19144.284387556
LUX,GDP per capita (current US$),Luxembourg,48659.5988753233,48440.1420151355,53005.7339209179,65689.3214536911,76544.9170868473,80988.1376230858,90788.8004876145,107475.320297978,120422.137934157,109419.746953106,110885.991378721,119025.057203467,112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,116786.511654677,112621.821337404
MDA,GDP per capita (current US$),Moldova,440.538683980372,507.404076252819,570.799866188293,682.319095965299,897.178494749468,1034.39402990012,1183.02103050816,1531.22186179676,2110.56198967544,1898.43548503943,2436.79935908401,2941.36211882435,3044.80847790641,3321.04391743353,3327.78677471175,2731.06558405856,2879.3912909285,3509.64733969975,4232.20688845801,4493.37030323867
