country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,Income share held by highest 10%,Argentina,37.7,39.5,40.5,37.7,35.2,34.9,33.7,33.7,32.4,31.2,31.7,31.0,29.7,29.4,29.9,30.201453019050632,30.4,29.7,29.8,31.0
AUT,Income share held by highest 10%,Austria,22.7,23.656974491443336,23.66331934129803,23.5,23.8,22.8,23.7,23.8,24.1,24.7,23.6,23.7,23.4,24.3,24.1,23.8,23.8,23.0,23.9,23.2
BLR,Income share held by highest 10%,Belarus,24.0,24.0,24.0,22.6,21.4,21.8,22.4,23.6,22.3,22.6,22.9,21.9,21.8,22.1,22.6,21.2,21.3,21.3,21.4,21.3
BEL,Income share held by highest 10%,Belgium,28.3,25.30807232805938,25.072360348724544,22.2,25.1,23.9,22.4,23.5,22.7,22.7,22.7,22.4,21.9,21.8,22.4,22.2,22.2,21.9,22.2,22.3
CRI,Income share held by highest 10%,Costa Rica,35.7,39.7,40.4,37.0,36.6,35.9,38.3,38.9,37.7,39.4,36.8,36.9,36.6,37.0,36.9,36.8,37.3,37.0,36.3,36.7
DNK,Income share held by highest 10%,Denmark,20.1,20.443525992896298,20.652567000322847,21.4,20.7,21.0,21.8,22.1,21.0,21.8,22.5,22.7,23.1,23.7,23.6,23.8,23.7,24.0,23.5,23.5
DOM,Income share held by highest 10%,Dominican Republic,40.2,39.2,38.3,41.7,41.7,39.0,41.2,38.6,37.8,38.7,36.5,37.5,36.0,37.9,33.4,34.9,35.4,33.5,35.2,33.1
SLV,Income share held by highest 10%,El Salvador,39.0,38.6,38.8,37.3,35.6,36.8,35.6,35.7,36.1,36.0,33.2,32.8,32.6,34.2,32.2,31.8,30.7,29.1,29.4,29.8
FIN,Income share held by highest 10%,Finland,22.7,22.966031643525994,22.937907652567006,23.0,23.2,23.0,23.0,23.3,23.0,22.6,22.5,22.8,22.3,22.3,22.0,22.4,22.4,22.6,22.6,23.0
GRC,Income share held by highest 10%,Greece,25.7,26.1503390377785,26.12043913464644,24.6,25.5,26.3,26.7,26.0,26.0,26.0,25.6,25.6,26.6,26.4,26.1,26.2,25.9,25.9,24.9,24.9
LUX,Income share held by highest 10%,Luxembourg,23.9,23.868340329350985,23.96280271230222,23.7,23.7,24.3,24.3,25.1,25.8,24.2,23.7,24.4,26.4,24.2,24.3,25.1,24.1,25.6,26.6,25.8
MDA,Income share held by highest 10%,Moldova,28.5,29.8,27.5,27.7,27.7,28.4,27.4,26.8,27.1,25.0,25.4,24.5,23.6,23.3,22.1,22.5,22.7,21.7,22.0,22.0
NOR,Income share held by highest 10%,Norway,23.2,23.045382628350012,22.950209880529542,23.3,27.2,26.3,21.2,22.2,21.8,21.3,21.0,20.5,20.9,21.3,21.6,22.3,23.1,21.6,22.2,22.4
PER,Income share held by highest 10%,Peru,36.8,39.1,42.1,42.2,38.0,38.5,38.2,37.8,35.4,35.2,34.2,33.5,33.3,32.7,32.1,32.6,32.6,32.3,31.6,31.1
RUS,Income share held by highest 10%,Russian Federation,27.6,27.9,28.1,30.3,30.5,31.4,31.3,32.8,32.5,31.1,30.6,31.1,32.2,32.4,31.9,29.7,28.6,29.2,29.9,30.2
SWE,Income share held by highest 10%,Sweden,22.1,21.269970939618986,21.34681950274458,20.1,21.1,21.1,21.1,21.7,22.4,21.5,21.8,21.6,21.6,22.2,22.2,22.9,23.3,22.3,22.9,22.7
THA,Income share held by highest 10%,Thailand,33.7,33.72665482725222,33.2,33.03001291572491,33.8,32.3333710041976,32.5,30.8,31.1,30.6,30.7,29.9,30.4,29.2,28.7,28.4,28.9,28.4,28.1,27.2
USA,Income share held by highest 10%,United States,30.3,30.6,30.1,30.2,30.1,30.8,31.2,30.4,30.3,30.4,29.3,30.2,30.2,30.0,30.7,30.5,30.4,30.3,30.7,30.8
