country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
RUS,Land Surface Temperature,Russian Federation,-0.7518729,-5.7515931,-4.2484397,-3.2518585,-5.2541031,-3.2520199,-5.7550342,-2.7523395,-3.7482882,-5.2558822,-5.2577507,-2.7532717,-3.7516861,-4.258061,-3.753492,-2.7531411,-2.3747347,-3.2545706,-3.7549375,-3.2548853
ARG,Land Surface Temperature,Argentina,22.6250952,24.8765655,23.876547,24.6244864,24.1243079,24.6252267,25.2546679,24.1253293,26.126321,26.1256372,24.8754704,25.1256966,24.8755786,25.3754258,24.3759063,24.375263,23.7522927,24.375667,24.8753089,24.8761522
AUT,Land Surface Temperature,Austria,15.1257125,10.4358111,12.4362141,12.4371004,10.9367197,10.8107391,11.3117815,13.063214,12.5619239,11.6862381,10.8772346,12.811868,11.6875109,12.376825,13.9394383,13.5619841,12.8141586,12.5621113,13.0631993,13.3130646
BLR,Land Surface Temperature,Belarus,16.5309693,9.28088531,12.4690233,10.2186783,10.9059573,10.4688174,10.2184281,13.5940638,13.0316213,10.843664,10.2184299,11.2815696,10.2182509,11.1559827,12.2815622,13.7811897,13.2817977,12.2813633,12.7187274,13.531551
BEL,Land Surface Temperature,Belgium,16.4689747,13.5945686,14.8446125,16.0316372,14.3444967,14.7817699,14.531109,14.9685208,14.4059106,15.4053579,14.2817291,15.5324828,14.09381,14.3436411,15.655647,15.6556349,14.9671608,15.8427792,16.9678873,16.0933769
CRI,Land Surface Temperature,Costa Rica,27.438123,28.0637847,27.6875611,28.0606694,27.31385,27.6865319,27.5640016,27.5606085,27.6875777,27.8130613,27.936849,27.5614392,27.6874207,27.937296,27.9383705,27.8123553,28.1868794,28.0615514,27.6867619,28.1893089
DNK,Land Surface Temperature,Denmark,13.6560311,10.5937323,12.4690223,12.2816043,11.5931999,11.7814717,12.530612,12.6564593,12.5944132,12.2811097,9.28143104,11.8436788,10.6877259,11.8436947,13.718956,12.0937654,12.3435815,11.4686519,13.9692075,12.5935977
DOM,Land Surface Temperature,Dominican Republic,29.6883084,29.0610396,29.0628346,28.6876555,28.3124433,28.437713,28.4365719,28.4366629,28.437607,28.5622702,28.4386828,28.562448,28.3140666,28.8144699,29.0649863,29.6896675,28.6890594,28.0624082,28.4381371,29.6870963
SLV,Land Surface Temperature,El Salvador,32.1866097,32.5639751,32.4393614,31.4397316,31.9394672,31.5632692,31.3123841,31.686768,31.4382782,31.8146067,31.5644075,31.5593683,31.435043,31.8123114,31.5631367,32.437809,31.5617259,32.0617031,31.6867428,31.9386135
FIN,Land Surface Temperature,Finland,5.43763845,0.68841516,2.31171987,2.84357843,2.21896332,3.18700408,3.18639363,3.06194603,2.93857697,2.43836668,1.43780172,3.93814433,1.31223501,4.31338542,4.43739995,4.43827603,3.93761841,2.18763715,3.93827076,3.06282982
GRC,Land Surface Temperature,Greece,25.5629104,22.3104819,21.4384597,21.9379449,21.1880242,21.0632371,20.9371087,22.4380295,22.0607694,21.4383019,21.8117631,21.3112466,22.4362074,22.1881622,21.8124133,21.5625869,21.9365611,22.06298,21.9376515,22.0630383
LUX,Land Surface Temperature,Luxembourg,16.7787218,12.8261099,14.7207117,15.4208931,13.7041506,13.9855821,14.1402654,15.0766062,14.4066638,14.9061484,15.7847643,15.5315701,13.4101669,14.38971,15.6687577,16.2828237,14.5943115,15.7161091,16.9091626,16.076666
MDA,Land Surface Temperature,Moldova,23.9063284,17.406284,17.9058551,17.4061652,18.2192097,17.1574172,16.3440683,22.1572426,18.5307519,20.5299779,16.5927228,18.9065411,19.781013,18.5931276,19.9693474,20.7806174,18.4682769,18.8438968,19.1567193,20.5945399
NOR,Land Surface Temperature,Norway,1.3120313,-2.4379039,-0.6265834,0.12467477,0.37431965,-0.6862289,0.06274721,-0.5632454,-0.563618,-0.4377017,-1.8133625,0.56218741,-1.812244,0.18743901,0.37066713,0.18745369,0.6874845,-1.0629449,0.31279181,-0.6264288
PER,Land Surface Temperature,Peru,26.3761104,26.8766037,26.6259367,26.6277005,26.6278989,27.1303183,26.6275715,26.6249806,26.8781765,26.8776256,27.3762962,26.6251942,26.8762981,26.8749974,27.1294274,27.3783486,27.6305629,26.8736018,26.8749194,27.1274364
SWE,Land Surface Temperature,Sweden,5.93679371,1.18806993,3.43745259,3.43726998,3.56186672,3.31174147,4.43754175,3.81222656,3.43653746,2.68691714,0.6875357,4.18719849,1.93787796,4.06238124,5.06280713,4.18702063,3.68755091,2.68743078,3.81266441,3.06208507
THA,Land Surface Temperature,Thailand,30.437533,30.4370756,30.8115811,30.6871968,31.062433,31.1871426,30.6873431,30.6868872,30.0622779,30.4378937,31.3126042,29.5620615,30.8122102,30.6870829,30.6867512,31.3124577,31.5630926,30.4371579,30.4383369,31.6871818
USA,Land Surface Temperature,United States,19.7526365,16.7520785,17.7539801,17.7529913,16.7534484,17.2560411,17.7519278,17.2553861,16.2556179,15.7556021,16.2493926,15.7557312,18.7536126,16.2520161,16.2530657,17.7508194,18.2534342,17.7549612,16.7533663,15.2526331
