country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,"Life expectancy at birth, female (years)",Argentina,77.223,77.59,78.075,77.276,78.103,78.527,78.716,78.515,78.927,79.07,78.838,79.322,79.953,79.927,80.004,80.188,79.67,80.085,80.329,80.681
AUT,"Life expectancy at birth, female (years)",Austria,81.2,81.7,81.7,81.5,82.1,82.2,82.8,83.1,83.3,83.2,83.5,83.8,83.6,83.8,84.0,83.7,84.1,84.0,84.1,84.2
BLR,"Life expectancy at birth, female (years)",Belarus,74.7,74.5,74.1,74.7,75.0,75.1,75.5,76.2,76.5,76.4,76.5,76.7,77.6,77.9,78.4,78.9,79.0,79.2,79.4,79.4
BEL,"Life expectancy at birth, female (years)",Belgium,81.0,81.2,81.2,81.1,81.9,81.9,82.3,82.6,82.6,82.8,83.0,83.3,83.1,83.2,83.9,83.4,84.0,83.9,83.9,84.3
CRI,"Life expectancy at birth, female (years)",Costa Rica,80.038,79.893,80.374,80.412,80.635,80.862,81.064,80.934,81.016,81.236,81.083,81.711,81.62,81.762,81.236,81.569,82.008,81.76,82.083,81.953
DNK,"Life expectancy at birth, female (years)",Denmark,79.0,79.2,79.2,79.5,79.9,80.2,80.4,80.5,80.7,80.8,81.2,81.9,82.1,82.4,82.8,82.7,82.8,83.1,82.9,83.5
DOM,"Life expectancy at birth, female (years)",Dominican Republic,72.377,72.519,72.694,72.784,72.805,73.407,73.86,74.281,74.832,75.276,75.66,75.856,76.166,76.322,76.396,76.377,76.304,76.319,76.499,76.965
SLV,"Life expectancy at birth, female (years)",El Salvador,74.248,73.903,74.708,74.682,74.968,75.083,75.401,75.677,75.92,75.961,76.213,76.189,76.163,76.158,76.267,76.572,77.075,77.494,77.488,76.776
FIN,"Life expectancy at birth, female (years)",Finland,81.0,81.5,81.5,81.8,82.3,82.3,82.8,82.9,83.0,83.1,83.2,83.8,83.7,84.1,84.1,84.4,84.4,84.5,84.5,84.8
GRC,"Life expectancy at birth, female (years)",Greece,80.5,81.0,81.1,81.3,81.6,81.8,82.0,82.0,82.5,82.8,83.0,83.6,83.4,84.0,84.1,83.7,84.0,83.9,84.4,84.2
LUX,"Life expectancy at birth, female (years)",Luxembourg,81.1,81.0,81.5,80.8,82.4,82.3,81.9,82.2,83.1,83.3,83.5,83.6,83.8,83.9,85.2,84.7,85.4,84.4,84.6,85.2
MDA,"Life expectancy at birth, female (years)",Moldova,70.035,70.466,70.505,70.997,71.621,72.045,72.564,72.996,73.477,73.876,73.778,73.679,73.625,73.586,73.524,73.838,74.51,75.059,75.232,75.617
NOR,"Life expectancy at birth, female (years)",Norway,81.4,81.5,81.6,81.9,82.3,82.5,82.7,82.7,83.0,83.1,83.2,83.6,83.5,83.8,84.2,84.2,84.2,84.3,84.5,84.7
PER,"Life expectancy at birth, female (years)",Peru,72.93,73.423,73.916,74.361,74.737,75.015,75.209,75.296,75.509,75.673,75.93,76.298,76.683,77.083,77.432,77.743,77.953,78.1,78.293,78.497
RUS,"Life expectancy at birth, female (years)",Russian Federation,72.26,72.17,71.9,71.85,72.36,72.47,73.34,74.02,74.28,74.79,74.88,75.61,75.86,76.3,76.47,76.71,77.06,77.64,77.82,78.17
SWE,"Life expectancy at birth, female (years)",Sweden,82.0,82.1,82.1,82.4,82.7,82.8,82.9,83.0,83.2,83.4,83.5,83.8,83.6,83.8,84.2,84.1,84.1,84.1,84.3,84.8
THA,"Life expectancy at birth, female (years)",Thailand,76.432,76.634,76.916,77.113,76.996,77.758,79.108,79.407,79.729,80.052,80.358,80.668,81.03,81.365,81.708,82.03,82.588,82.864,83.149,83.433
USA,"Life expectancy at birth, female (years)",United States,79.3,79.5,79.6,79.7,80.1,80.1,80.3,80.6,80.6,80.9,81.0,81.1,81.2,81.2,81.3,81.2,81.1,81.1,81.2,81.4
