country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,"Suicide mortality rate (per 100,000 population)",Argentina,9.1,10.3,10.2,9.7,8.7,8.6,8.6,8.3,8.7,8.4,8.6,8.5,9.1,8.6,9.3,8.3,8.3,8.9,9.2,8.4
AUT,"Suicide mortality rate (per 100,000 population)",Austria,19.9,18.6,19.3,18.2,17.5,17.2,16.4,16.0,15.8,16.0,16.1,16.5,16.3,16.2,16.5,16.0,15.5,15.4,15.7,14.6
BLR,"Suicide mortality rate (per 100,000 population)",Belarus,41.8,43.3,44.3,42.9,42.1,43.5,40.9,36.8,36.7,36.5,35.9,36.2,29.9,27.9,26.3,24.3,24.2,23.3,22.8,21.2
BEL,"Suicide mortality rate (per 100,000 population)",Belgium,22.0,22.3,20.9,21.5,20.2,20.7,20.2,18.7,20.3,20.6,20.5,21.1,20.8,19.5,19.4,18.6,19.3,18.9,18.7,18.3
CRI,"Suicide mortality rate (per 100,000 population)",Costa Rica,6.4,5.2,7.0,7.9,8.1,6.6,8.4,5.7,5.5,5.6,6.9,6.9,6.6,6.7,5.6,6.7,7.7,6.1,7.2,8.1
DNK,"Suicide mortality rate (per 100,000 population)",Denmark,15.6,15.8,14.9,13.6,14.2,14.8,14.7,12.6,13.1,12.9,11.8,12.6,12.8,12.1,12.0,10.9,10.9,11.3,11.4,10.7
DOM,"Suicide mortality rate (per 100,000 population)",Dominican Republic,3.9,3.9,4.1,4.4,4.5,4.8,4.7,4.8,4.8,4.9,4.7,4.9,5.2,5.5,6.1,6.4,6.4,5.7,5.2,4.9
SLV,"Suicide mortality rate (per 100,000 population)",El Salvador,6.2,6.8,5.3,6.5,6.8,7.8,6.6,7.9,6.8,8.6,6.1,8.0,6.8,6.4,5.8,6.9,5.7,6.1,6.0,6.1
FIN,"Suicide mortality rate (per 100,000 population)",Finland,24.3,24.1,22.0,21.7,21.2,19.9,21.0,19.7,20.6,20.4,18.6,17.9,17.0,17.2,15.4,14.0,15.2,15.9,16.2,15.3
GRC,"Suicide mortality rate (per 100,000 population)",Greece,3.5,3.1,2.9,3.3,3.1,3.7,3.7,3.0,3.4,3.6,3.5,4.4,4.8,5.0,5.3,5.0,4.7,5.1,5.1,5.1
LUX,"Suicide mortality rate (per 100,000 population)",Luxembourg,16.1,16.7,16.1,15.3,12.1,13.4,15.2,14.0,13.4,11.3,12.0,11.9,11.3,11.3,12.7,12.2,10.2,9.8,10.6,11.3
MDA,"Suicide mortality rate (per 100,000 population)",Moldova,17.2,18.6,17.7,18.5,18.3,19.4,19.7,17.2,19.1,19.7,20.5,15.3,17.0,17.0,17.2,16.2,15.9,14.9,14.4,14.7
NOR,"Suicide mortality rate (per 100,000 population)",Norway,13.9,14.2,12.1,11.8,12.8,12.4,12.8,11.8,11.8,13.0,12.4,13.3,11.4,11.8,11.6,12.5,12.6,12.1,12.0,11.8
PER,"Suicide mortality rate (per 100,000 population)",Peru,3.1,2.9,2.9,3.0,2.8,2.7,2.7,2.6,2.7,3.3,3.5,3.3,3.2,3.1,2.9,2.7,2.6,2.7,2.8,2.8
RUS,"Suicide mortality rate (per 100,000 population)",Russian Federation,53.8,52.4,52.0,51.6,50.1,49.8,44.8,41.7,40.7,38.4,38.1,35.9,34.4,33.5,33.8,32.0,31.0,28.2,27.1,25.1
SWE,"Suicide mortality rate (per 100,000 population)",Sweden,15.1,16.0,15.5,14.4,14.8,15.7,15.0,14.5,15.0,15.7,14.7,14.2,15.0,15.9,14.8,15.7,14.6,15.0,14.9,14.7
THA,"Suicide mortality rate (per 100,000 population)",Thailand,12.0,10.9,11.0,10.7,10.5,9.1,8.9,8.4,8.1,8.0,8.1,8.0,7.9,7.5,7.8,8.0,8.5,8.4,8.8,8.8
USA,"Suicide mortality rate (per 100,000 population)",United States,11.0,11.4,11.8,11.7,11.9,11.9,12.1,12.4,12.7,12.8,13.1,13.4,13.5,13.5,14.0,14.4,15.1,15.9,15.7,16.1
