country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,"Suicide mortality rate, female (per 100,000 female population)",Argentina,3.4,4.0,4.2,3.8,3.6,3.6,3.3,3.3,3.3,3.2,3.2,3.3,3.5,3.2,3.7,3.3,3.1,3.5,3.6,3.3
AUT,"Suicide mortality rate, female (per 100,000 female population)",Austria,10.6,10.0,8.9,9.4,8.4,8.6,7.5,7.9,7.5,7.6,7.6,8.0,7.3,7.9,8.1,7.6,7.7,6.6,6.9,6.7
BLR,"Suicide mortality rate, female (per 100,000 female population)",Belarus,11.9,12.0,12.7,12.4,12.6,12.9,12.5,11.6,11.6,12.0,11.2,11.5,10.0,9.4,8.7,8.3,8.4,8.2,8.1,7.7
BEL,"Suicide mortality rate, female (per 100,000 female population)",Belgium,12.9,12.1,12.0,11.6,11.2,11.4,11.8,11.0,11.4,11.8,12.2,12.8,11.8,11.9,12.1,11.7,11.7,11.9,11.9,11.8
CRI,"Suicide mortality rate, female (per 100,000 female population)",Costa Rica,1.5,1.5,2.0,2.6,2.3,2.0,2.8,1.9,1.6,1.8,2.0,2.4,1.9,1.8,1.9,2.3,2.3,2.3,2.2,2.0
DNK,"Suicide mortality rate, female (per 100,000 female population)",Denmark,8.8,10.0,9.4,7.7,9.6,9.5,9.4,8.8,9.0,6.5,7.2,7.1,6.9,6.9,6.7,7.2,6.1,7.1,7.0,6.5
DOM,"Suicide mortality rate, female (per 100,000 female population)",Dominican Republic,1.3,1.4,1.6,1.7,1.8,1.8,1.6,1.7,1.7,1.8,1.7,1.8,1.9,2.0,2.2,2.4,2.3,2.1,2.0,1.8
SLV,"Suicide mortality rate, female (per 100,000 female population)",El Salvador,3.4,3.7,3.2,3.3,2.7,2.8,2.0,2.6,2.6,2.5,2.2,2.8,2.7,2.4,2.7,2.2,2.3,2.3,2.2,2.1
FIN,"Suicide mortality rate, female (per 100,000 female population)",Finland,12.2,10.9,11.0,10.6,9.8,10.7,10.5,9.6,9.5,10.9,9.3,8.2,8.4,8.7,7.5,6.6,7.0,8.7,8.0,7.6
GRC,"Suicide mortality rate, female (per 100,000 female population)",Greece,1.5,0.9,1.2,1.2,1.2,1.4,1.2,1.1,1.2,1.1,0.7,1.5,1.7,2.0,2.2,2.0,1.6,2.0,1.9,1.9
LUX,"Suicide mortality rate, female (per 100,000 female population)",Luxembourg,9.2,9.2,8.3,8.9,5.7,6.7,7.5,7.8,7.8,6.4,6.8,7.4,7.7,7.0,9.1,7.7,6.4,6.0,6.7,7.1
MDA,"Suicide mortality rate, female (per 100,000 female population)",Moldova,4.6,5.8,5.8,5.3,5.8,5.9,5.7,5.0,6.3,5.6,5.8,4.4,5.9,5.2,4.7,5.4,4.7,4.0,3.8,4.1
NOR,"Suicide mortality rate, female (per 100,000 female population)",Norway,6.8,7.3,6.7,6.7,8.6,8.3,7.5,7.4,7.7,7.4,8.0,7.7,6.9,7.9,6.7,8.7,8.6,8.0,7.8,7.7
PER,"Suicide mortality rate, female (per 100,000 female population)",Peru,2.3,2.1,2.0,2.0,1.8,1.8,1.7,1.6,1.6,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.4,1.4,1.4
RUS,"Suicide mortality rate, female (per 100,000 female population)",Russian Federation,16.1,15.9,16.0,15.9,15.4,15.4,14.1,13.5,13.2,12.8,12.6,12.0,11.6,11.2,11.3,11.0,10.7,10.0,9.7,9.1
SWE,"Suicide mortality rate, female (per 100,000 female population)",Sweden,9.7,10.1,9.0,9.2,8.7,10.4,9.8,9.0,9.0,9.5,8.7,8.9,9.4,10.3,10.0,9.7,9.6,9.6,9.6,9.5
THA,"Suicide mortality rate, female (per 100,000 female population)",Thailand,7.4,6.3,6.1,5.5,4.8,4.2,4.1,4.0,3.8,3.7,3.6,3.4,3.3,3.1,3.1,3.0,3.0,3.0,3.0,2.9
USA,"Suicide mortality rate, female (per 100,000 female population)",United States,4.5,4.7,5.0,5.0,5.4,5.2,5.4,5.5,5.6,5.7,5.8,6.0,6.1,6.2,6.5,6.8,7.0,7.1,7.2,7.5
