country_code,series_name,country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,"Suicide mortality rate, male (per 100,000 male population)",Argentina,15.2,16.9,16.6,15.9,14.2,13.9,14.2,13.5,14.3,13.9,14.2,14.0,15.1,14.2,15.1,13.6,13.7,14.5,15.1,13.7
AUT,"Suicide mortality rate, male (per 100,000 male population)",Austria,29.8,27.7,30.4,27.5,27.1,26.4,25.7,24.5,24.6,24.8,25.1,25.4,25.7,24.9,25.3,24.8,23.6,24.5,24.9,22.8
BLR,"Suicide mortality rate, male (per 100,000 male population)",Belarus,75.6,78.6,80.1,77.6,75.6,78.5,73.5,65.7,65.5,64.8,64.3,64.7,52.9,49.1,46.6,42.7,42.3,40.6,39.7,36.7
BEL,"Suicide mortality rate, male (per 100,000 male population)",Belgium,31.5,32.9,30.2,31.8,29.6,30.3,29.0,26.7,29.5,29.7,29.1,29.7,30.2,27.4,27.0,25.8,27.1,26.1,25.6,24.9
CRI,"Suicide mortality rate, male (per 100,000 male population)",Costa Rica,11.3,8.9,11.9,13.0,13.9,11.1,14.1,9.4,9.4,9.5,11.8,11.4,11.2,11.7,9.4,11.2,13.0,9.9,12.2,14.1
DNK,"Suicide mortality rate, male (per 100,000 male population)",Denmark,22.6,21.8,20.5,19.6,19.0,20.3,20.2,16.5,17.3,19.3,16.5,18.1,18.8,17.4,17.3,14.7,15.7,15.6,15.8,14.9
DOM,"Suicide mortality rate, male (per 100,000 male population)",Dominican Republic,6.5,6.4,6.6,7.2,7.2,7.6,7.8,7.9,7.9,8.0,7.7,8.0,8.5,9.0,9.9,10.4,10.4,9.2,8.5,8.0
SLV,"Suicide mortality rate, male (per 100,000 male population)",El Salvador,9.1,10.0,7.6,10.0,11.2,13.1,11.7,13.8,11.5,15.3,10.5,13.9,11.2,10.8,9.2,12.3,9.6,10.5,10.4,10.5
FIN,"Suicide mortality rate, male (per 100,000 male population)",Finland,37.0,38.0,33.6,33.4,33.2,29.5,32.0,30.2,32.1,30.3,28.2,28.0,25.8,26.0,23.6,21.7,23.8,23.4,24.6,23.2
GRC,"Suicide mortality rate, male (per 100,000 male population)",Greece,5.4,5.3,4.7,5.4,5.1,6.0,6.1,5.0,5.7,6.2,6.3,7.3,8.0,8.1,8.6,8.2,7.9,8.3,8.3,8.4
LUX,"Suicide mortality rate, male (per 100,000 male population)",Luxembourg,23.1,24.4,24.0,21.9,18.6,20.3,23.1,20.4,19.2,16.3,17.3,16.5,15.1,15.5,16.2,16.6,13.9,13.6,14.5,15.3
MDA,"Suicide mortality rate, male (per 100,000 male population)",Moldova,30.9,32.5,30.5,33.0,32.0,34.1,34.9,30.5,33.1,34.9,36.5,27.0,29.0,29.6,30.6,27.8,27.9,26.6,26.0,26.1
NOR,"Suicide mortality rate, male (per 100,000 male population)",Norway,21.1,21.2,17.6,17.1,17.1,16.6,18.1,16.2,15.8,18.5,16.7,18.8,15.9,15.6,16.6,16.2,16.5,16.3,16.0,15.8
PER,"Suicide mortality rate, male (per 100,000 male population)",Peru,3.9,3.7,3.8,4.0,3.9,3.7,3.7,3.7,3.9,4.7,5.0,4.8,4.7,4.6,4.3,4.0,3.9,4.1,4.1,4.2
RUS,"Suicide mortality rate, male (per 100,000 male population)",Russian Federation,96.7,94.1,93.1,92.4,89.8,89.3,80.0,74.1,72.5,68.0,67.5,63.5,60.9,59.3,60.0,56.4,54.4,49.3,47.2,43.6
SWE,"Suicide mortality rate, male (per 100,000 male population)",Sweden,20.5,22.0,22.2,19.7,20.9,21.1,20.2,20.1,21.2,22.1,20.8,19.6,20.6,21.5,19.6,21.8,19.6,20.5,20.2,19.9
THA,"Suicide mortality rate, male (per 100,000 male population)",Thailand,16.7,15.7,16.1,16.1,16.4,14.1,13.8,13.0,12.5,12.4,12.7,12.7,12.6,12.0,12.7,13.3,14.2,14.1,14.8,15.0
USA,"Suicide mortality rate, male (per 100,000 male population)",United States,17.7,18.3,18.8,18.6,18.6,18.7,19.1,19.5,20.0,20.0,20.5,20.9,21.1,21.0,21.6,22.2,23.5,24.9,24.3,25.0
