Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Land Surface Temperature,EN.LND.LTMP.DC,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.7518729,-5.7515931,-4.2484397,-3.2518585,-5.2541031,-3.2520199,-5.7550342,-2.7523395,-3.7482882,-5.2558822,-5.2577507,-2.7532717,-3.7516861,-4.258061,-3.753492,-2.7531411,-2.3747347,-3.2545706,-3.7549375,-3.2548853,-1.247285,-4.2552286,..
Land Surface Temperature,EN.LND.LTMP.DC,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.7497657,30.6246308,29.8767379,28.8740819,30.7532759,28.3771979,29.3761199,29.1251996,28.8752113,27.8752551,29.6243831,29.1250018,27.3746873,29.1247789,28.6281367,28.8758897,30.6263973,29.8744306,30.1259055,27.8726262,28.1259446,30.8741594,..
Land Surface Temperature,EN.LND.LTMP.DC,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.1870678,19.8120771,18.9364343,20.3127449,18.314357,18.3108027,18.5639489,20.3126512,19.8131123,19.0637959,19.0624193,19.5603627,19.8123073,19.8120257,19.3167489,19.9392779,19.0618451,20.3114606,19.6873912,19.9359187,20.3149516,19.4389756,..
Land Surface Temperature,EN.LND.LTMP.DC,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.0627445,38.626846,37.6878209,37.626578,37.8763043,37.4382683,37.687792,38.376663,37.6269319,38.1261782,38.8769805,37.8767998,38.0630928,38.6280513,38.1877112,37.6879212,38.4380335,37.6875988,37.874857,38.3769659,38.625905,38.6265931,..
Land Surface Temperature,EN.LND.LTMP.DC,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.8359275,9.74087181,10.2251133,9.65135139,9.22203221,9.85611111,11.5381872,11.713702,10.2152827,9.97525509,8.53112755,11.72457,10.7851562,8.82637681,9.53013984,10.9608562,11.3370428,11.0918618,9.2744517,11.4595388,11.4030152,10.2783194,..
Land Surface Temperature,EN.LND.LTMP.DC,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.6869662,30.0623641,29.5620958,29.5619454,29.3116781,29.8115464,29.3116258,29.3122852,29.5626769,29.4367573,29.8113382,29.3119114,29.9370658,30.1872676,29.6872372,29.9367326,30.0622152,30.312361,30.0623632,30.3114805,30.0622529,30.3124645,..
Land Surface Temperature,EN.LND.LTMP.DC,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.7933364,30.5247951,29.3898495,29.6700005,28.0165718,27.6132139,27.8265022,28.888599,28.0394803,28.2959959,28.0371275,27.264543,28.0790269,28.2598423,28.9900888,29.7029425,28.1362715,27.8341288,28.9817223,28.6454601,28.7617667,29.2124798,..
Land Surface Temperature,EN.LND.LTMP.DC,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.6250952,24.8765655,23.876547,24.6244864,24.1243079,24.6252267,25.2546679,24.1253293,26.126321,26.1256372,24.8754704,25.1256966,24.8755786,25.3754258,24.3759063,24.375263,23.7522927,24.375667,24.8753089,24.8761522,25.8744293,25.254513,..
Land Surface Temperature,EN.LND.LTMP.DC,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.8763876,15.6265749,14.0645332,13.0638895,14.5655732,13.8121807,14.9411845,13.0647294,13.9342006,13.5622486,17.0622904,12.1896184,14.1877252,14.6889835,16.1271504,15.4398264,13.9414643,15.5667854,16.3094801,16.5653337,16.4365106,16.6857796,..
Land Surface Temperature,EN.LND.LTMP.DC,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.875644,34.1250149,35.1244335,34.6247231,34.1243485,35.1244632,34.1257238,34.1239677,33.8749604,34.8749807,32.3753202,32.3765892,33.8754876,35.6251092,35.1246332,35.1250956,33.8744756,34.6252429,35.3757631,36.1254728,34.8741536,33.6237594,..
